# SCORE: target × method × node (y @ tree top, bind bottom_d)
# nodes: 16 low-nibble sweep; 14 evaluable
# eps=1e-02

# Summary (eps=1e-02)

| target | best_mlp_in | best_fourier_in | best_eml_in | best_eml_byte | eml_pass_n | winner_tes | winner_in_rmse |
|--------|-------------|-----------------|-------------|---------------|-----------|------------|----------------|
| exp | 8.3913e-05 | 1.1057e-02 | 9.5013e-01 | 5 | 0/14 | eml b=9 | mlp |
| exp_sin | 1.6142e-04 | 1.7562e-02 | 9.5421e-01 | 11 | 0/14 | eml b=9 | mlp |
| info_pattern | 8.9370e-02 | 7.5209e-04 | 6.0585e-01 | 14 | 0/14 | fourier | fourier |
| log | 3.6508e-04 | 4.9034e-03 | 5.9322e-01 | 3 | 0/14 | eml b=1 | mlp |
| sin | 2.5585e-04 | 5.5819e-04 | 4.6191e-01 | 13 | 0/14 | fourier | mlp |
| sin_exp | 3.5531e-05 | 2.5730e-03 | 2.0688e-01 | 15 | 0/14 | fourier | mlp |
| stock_pattern | 8.5148e-03 | 6.0242e-03 | 1.0458e+00 | 9 | 0/14 | eml b=9 | fourier |

# Detail

| target | method | byte | n_eml | x_slot | bind_leaf | in_rmse | ood_rmse | ood_ratio | n_params | complexity | compute | steps | pass | TES |
| stock_pattern | eml | 14 | 6 | R | 0 | 1.5873e+00 | 1.8998e+00 | 1.20 | 8 | 405.37 | 2.03e+05 | FAIL | N | 1.9069e-06 |
| stock_pattern | eml | 15 | 7 | R | 0 | 1.7120e+00 | 1.8423e+01 | 10.76 | 9 | 1098.71 | 5.49e+05 | FAIL | N | 6.7122e-07 |
| info_pattern | mlp |  |  |  |  | 8.9370e-02 | 5.1485e+00 | 57.61 | 385 | 385.00 | 1.93e+05 | FAIL | N | 4.7563e-06 |
| info_pattern | fourier |  |  |  |  | 7.5209e-04 | 7.3949e-02 | 98.32 | 34 | 34.00 | 3.74e+03 | 107 | Y | 2.6682e-04 |
| info_pattern | eml | 1 | 1 | L | 0 | 1.9398e+00 | 4.8244e+00 | 2.49 | 3 | 3.41 | 1.71e+03 | FAIL | N | 1.9942e-04 |
| info_pattern | eml | 2 | 2 | L | 0 | 1.0036e+16 | 2.0999e+13 | 0.00 | 4 | 8.49 | 4.24e+03 | FAIL | N | 2.3480e-20 |
| info_pattern | eml | 3 | 3 | L | 0 | 2.0627e+00 | 3.5775e+00 | 1.73 | 5 | 21.47 | 1.07e+04 | FAIL | N | 3.0413e-05 |
| info_pattern | eml | 4 | 4 | L | 0 | 1.4262e+00 | 4.5692e+00 | 3.20 | 6 | 56.21 | 2.81e+04 | FAIL | N | 1.4666e-05 |
| info_pattern | eml | 5 | 5 | L | 0 | 2.4659e+00 | 1.7329e+00 | 0.70 | 7 | 150.20 | 7.51e+04 | FAIL | N | 3.8418e-06 |
| info_pattern | eml | 6 | 6 | L | 0 | 1.8797e+00 | 1.8464e+00 | 0.98 | 8 | 405.37 | 2.03e+05 | FAIL | N | 1.7133e-06 |
| info_pattern | eml | 7 | 7 | L | 0 | 5.6762e+00 | 5.5302e+00 | 0.97 | 9 | 1098.71 | 5.49e+05 | FAIL | N | 2.7266e-07 |
| info_pattern | eml | 9 | 1 | R | 0 | 1.9597e+00 | 4.7873e+00 | 2.44 | 3 | 3.41 | 1.71e+03 | FAIL | N | 1.9808e-04 |
| info_pattern | eml | 10 | 2 | R | 0 | 1.9307e+00 | 3.4948e+00 | 1.81 | 4 | 8.49 | 4.24e+03 | FAIL | N | 8.0403e-05 |
| info_pattern | eml | 11 | 3 | R | 0 | 1.1506e+00 | 1.3231e+01 | 11.50 | 5 | 21.47 | 1.07e+04 | FAIL | N | 4.3312e-05 |
| info_pattern | eml | 12 | 4 | R | 0 | 1.3198e+00 | 8.2518e-01 | 0.63 | 6 | 56.21 | 2.81e+04 | FAIL | N | 1.5339e-05 |
| info_pattern | eml | 13 | 5 | R | 0 | 2.3034e+00 | 6.1660e+00 | 2.68 | 7 | 150.20 | 7.51e+04 | FAIL | N | 4.0307e-06 |
| info_pattern | eml | 14 | 6 | R | 0 | 6.0585e-01 | 5.0268e-01 | 0.83 | 8 | 405.37 | 2.03e+05 | FAIL | N | 3.0723e-06 |
| info_pattern | eml | 15 | 7 | R | 0 | 1.2580e+00 | 6.0938e-01 | 0.48 | 9 | 1098.71 | 5.49e+05 | FAIL | N | 8.0615e-07 |
